uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,entity_active,registration_incorporation_date,year_rego,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code
05776100X,ACRA,SIM SEOW LENG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,20/2/75,1975,20/2/75,LOCAL,239,KIM TIAN ROAD,na,na,na,316,na,na,na,na,86204
05835400W,ACRA,HO'S DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,11/3/75,1975,11/3/75,LOCAL,24,JALAN BAHAGIA,1,123,na,1232,na,na,na,na,86204
10045700B,ACRA,STRAITS DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Registration expired and has not been renewed,Non-Active,17/3/75,1975,17/3/75,LOCAL,1,ANG MO KIO INDUSTRIAL PARK 2A,4,9,AMK TECH I,568049,na,na,na,na,86204
06951900E,ACRA,NAM AH DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,9/4/75,1975,9/4/75,LOCAL,336,BALESTIER ROAD,na,na,na,329768,na,na,na,na,86204
07588000L,ACRA,HANG HUAT DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,11/4/75,1975,11/4/75,LOCAL,964,UPPER SERANGOON ROAD,na,na,na,1953,na,na,na,na,86204
07625200X,ACRA,KHOR NAM SENG,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,24/4/75,1975,24/4/75,LOCAL,464D,JURONG ROAD,na,na,na,2159,na,na,na,na,86204
08280700X,ACRA,FON SIN DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,29/5/75,1975,29/5/75,LOCAL,7,UPPER THOMSON ROAD,7,69,na,570007,na,na,na,na,86204
10006200L,ACRA,CHE SHENG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,27/6/75,1975,27/6/75,LOCAL,7,NORTH BRIDGE ROAD,1,4014,na,190007,na,na,na,na,86204
10153900B,ACRA,NAM SANG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,22/7/75,1975,22/7/75,LOCAL,322,CHANGI ROAD,na,na,na,419797,na,na,na,na,86204
10036100E,ACRA,ONG NAM WAH DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,29/7/75,1975,29/7/75,LOCAL,8,YIO CHU KANG ROAD,na,na,ICB SHOPPING CENTRE,545522,na,na,na,na,86204
20924100D,ACRA,PAI LIN'S DENTIST,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,30/7/75,1975,30/7/75,LOCAL,99,JALAN SENDUDOK,na,na,THE NAUTICAL,769475,na,na,na,na,86204
20928600L,ACRA,CARE CLINIC AND DENTAL SURGERY,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,1/8/75,1975,1/8/75,LOCAL,330,ANG MO KIO AVENUE 1,1,1827,TECK GHEE VIEW,560330,na,na,na,na,86204
10563500J,ACRA,KWOK AND NG DENTAL SURGERY,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,1/8/75,1975,1/8/75,LOCAL,257,SELEGIE ROAD,2,275,SELEGIE COMPLEX,188350,na,na,na,na,86204
10968900C,ACRA,NAM SENG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,4/8/75,1975,4/8/75,LOCAL,12,WOODLANDS ROAD,na,na,na,677907,na,na,na,na,86204
21066100C,ACRA,ENG ENG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,17/9/75,1975,17/9/75,LOCAL,103,WHAMPOA DRIVE,1,21,na,323103,na,na,na,na,86204
21068600J,ACRA,YIO CHU KANG NAM SENG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,18/9/75,1975,18/9/75,LOCAL,603,ANG MO KIO AVENUE 5,1,2669,YIO CHU KANG GREEN,560603,na,na,na,na,86204
21103500M,ACRA,MIN HIN DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,30/9/75,1975,30/9/75,LOCAL,4,UPPER PICKERING STREET,2,41,na,51004,na,na,na,na,86204
197600145N,ACRA,ACCORDIA CONSULTANT PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,21/1/76,1976,21/1/76,LOCAL,122,LORONG 2 TOA PAYOH,11,2,TOA PAYOH VIEW,310122,na,na,31/10/25,19/8/24,86204
21476800K,ACRA,WONG TECK BOON DENTAL TECHNICIAN,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,21/2/76,1976,21/2/76,LOCAL,19,CHAPEL CLOSE,na,na,na,429574,na,na,na,na,86204
197700114H,ACRA,FAR EAST DENTAL LABORATORIES & SUPPLIERS (PTE.) LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,15/1/77,1977,15/1/77,LOCAL,2,JALAN RAJAH,7,24,GOLDEN WALL FLATTED FACTORY,329134,na,na,29/12/14,5/9/13,86204
197701019E,ACRA,PARKLANE DENTAL SURGERY PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,14/5/77,1977,14/5/77,LOCAL,35,SELEGIE ROAD,10,29,PARKLANE SHOPPING MALL,188307,na,na,2/6/99,2/2/98,86204
23085000J,ACRA,GEYLANG DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,24/8/77,1977,24/8/77,LOCAL,494B,GEYLANG ROAD,na,na,na,389452,na,na,na,na,86204
23489600X,ACRA,YONG WAH DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,Non-Active,4/1/78,1978,4/1/78,LOCAL,50,CHIN SWEE ROAD,10,04A,THONG CHAI BUILDING,169874,na,na,na,na,86204
24046300E,ACRA,LUCKY DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,26/6/78,1978,26/6/78,LOCAL,13A,MACKENZIE ROAD,na,na,na,228676,na,na,na,na,86204
197802238H,ACRA,PEDODONTISTS PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,1/9/78,1978,1/9/78,LOCAL,150,ORCHARD ROAD,8,19,ORCHARD PLAZA,238841,na,na,1/12/02,na,86204
24707100E,ACRA,ACCU ART CERAMICS DENTAL LABOR ATORY,Sole Proprietorship/ Partnership,Partnership,na,na,Cancelled,Non-Active,13/12/78,1978,13/12/78,LOCAL,37,KALLANG PUDDING ROAD,7,9,TONG LEE BUILDING BLOCK B,349315,na,na,na,na,86204
197900335C,ACRA,J.K. LEONG (DENTAL CENTRE) PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,9/2/79,1979,9/2/79,LOCAL,35,SELEGIE ROAD,1,33,PARKLANE SHOPPING MALL,188307,na,na,31/10/25,21/10/24,86204
25280000A,ACRA,OCEAN DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,23/5/79,1979,23/5/79,LOCAL,131,JALAN BUKIT MERAH,na,na,KIM TIAN VISTA,160131,na,na,na,na,86204
197901575W,ACRA,EASTMEN DENTAL LABORATORY PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,5/6/79,1979,5/6/79,LOCAL,11,COLLYER QUAY,5,1,THE ARCADE,49317,na,na,31/1/96,na,86204
197902553G,ACRA,THE MEDICAL AND DENTAL CENTRE PTE LTD,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,27/8/79,1979,27/8/79,LOCAL,3,MOUNT ELIZABETH,9,9,MOUNT ELIZABETH HOSPITAL,228510,na,na,31/10/96,30/6/95,86204
25890300K,ACRA,MERONI DENTAL LABORATORY,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,26/10/79,1979,26/10/79,LOCAL,494B,GEYLANG ROAD,na,na,na,389452,na,na,na,na,86204
26116400K,ACRA,CHOO'S REGISTERED DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,28/12/79,1979,28/12/79,LOCAL,8,JALAN BATU,1,13,DI TANJONG RHU,431008,na,na,na,na,86204
26215700D,ACRA,SIN AH DENTIST & LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,25/1/80,1980,25/1/80,LOCAL,2,TAI THONG CRESCENT,na,na,THE VENUE SHOPPES,347836,na,na,na,na,86204
27329100M,ACRA,LSK ENTERPRISE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,1/12/80,1980,1/12/80,LOCAL,206,COLOMBO COURT,na,na,na,617,na,na,na,na,86204
27378000W,ACRA,PENG JEE DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,16/12/80,1980,16/12/80,LOCAL,5071,ANG MO KIO INDUSTRIAL PARK 2,1,1577,na,569574,na,na,na,na,86204
27480600B,ACRA,WANG'S DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,19/1/81,1981,19/1/81,LOCAL,964,UPPER SERANGOON ROAD,na,na,na,1953,na,na,na,na,86204
198101644Z,ACRA,CHEONG DENTAL SERVICES PTE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,15/4/81,1981,15/4/81,LOCAL,9A,SWANAGE ROAD,na,na,na,437199,na,na,31/1/14,10/12/12,86204
198102550K,ACRA,AESTHETICS DENTAL SURGERY PTE LTD,Local Company,na,Private Company Limited by Shares,na,Live Company,Active,8/6/81,1981,8/6/81,LOCAL,2,CLEMENTI LOOP,4,1,LOGIS HUB @ CLEMENTI,129809,na,na,31/7/25,30/7/24,86204
28262400K,ACRA,ACCENT DENTAL CLINIC,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,23/7/81,1981,23/7/81,LOCAL,138,PRINCE CHARLES CRESCENT,1,219,ALEXANDRA PEAKS,150138,na,na,na,na,86204
28423100B,ACRA,YONG DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,31/8/81,1981,31/8/81,LOCAL,20,MAXWELL ROAD,9,6,MAXWELL HOUSE,69113,na,na,na,na,86204
28528200W,ACRA,JANSEN DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,2/10/81,1981,2/10/81,LOCAL,1,SCOTTS ROAD,17,10,SHAW CENTRE,228208,na,na,na,na,86204
28716100E,ACRA,SUM CHEE PENG COMPANY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,12/11/81,1981,12/11/81,LOCAL,268,ORCHARD ROAD,5,3,YEN SAN BUILDING,238856,na,na,na,na,86204
28726200J,ACRA,CENTURY DENTAL LABORATORIES & SUPPLIERS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,13/11/81,1981,13/11/81,LOCAL,113,ALJUNIED AVENUE 2,1,11,na,380113,na,na,na,na,86204
198200598Z,ACRA,SUPREME DENTAL CLINIC PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,16/2/82,1982,16/2/82,LOCAL,157,ANG MO KIO AVENUE 4,1,554,MAYFLOWER SHOPPING & FOOD CENTRE,560157,na,na,31/10/25,29/10/24,86204
29058100A,ACRA,ABC DENTAL EMERGENCY SERVICE,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,20/2/82,1982,20/2/82,LOCAL,268,ORCHARD ROAD,5,7,YEN SAN BUILDING,238856,na,na,na,na,86204
29258700K,ACRA,ORAL-AIDS LABORATORIES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,5/4/82,1982,5/4/82,LOCAL,113,ALJUNIED AVENUE 2,1,11,na,380113,na,na,na,na,86204
29261900J,ACRA,VELLA CLINIC AND DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,5/4/82,1982,5/4/82,LOCAL,33,MACKENZIE ROAD,na,na,MACKENZIE REGENCY,228686,na,na,na,na,86204
29353200A,ACRA,AARON DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,24/4/82,1982,24/4/82,LOCAL,68,ORCHARD ROAD,7,12,PLAZA SINGAPURA,238839,na,na,na,na,86204
29794600E,ACRA,ABC DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,30/7/82,1982,30/7/82,LOCAL,338,PASIR PANJANG ROAD,5,9,LUXE VILLE,118669,na,na,na,na,86204
29804900K,ACRA,CHUEN SIN DENTAL SUPPLY & LABORATORIES COMPANY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,5/8/82,1982,5/8/82,LOCAL,59,ST. JOHN'S ROAD,na,na,na,2775,na,na,na,na,86204
29971100E,ACRA,TNG THIAM HUAT DENTAL SERVICES CO,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,13/9/82,1982,13/9/82,LOCAL,4B,ORCHARD ROAD,na,na,na,923,na,na,na,na,86204
30034400K,ACRA,AURIC DENTAL LABORATORY AND SUPPLIERS,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,1/10/82,1982,1/10/82,LOCAL,306-307,BATTERY ROAD,na,na,na,104,na,na,na,na,86204
30142000M,ACRA,ORAL-CARE DENTAL SURGEONS,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,27/10/82,1982,27/10/82,LOCAL,27,MARINE PARADE ROAD,na,na,na,1544,na,na,na,na,86204
30229700J,ACRA,SINGMA DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,17/11/82,1982,17/11/82,LOCAL,3027,UBI ROAD 1,2,108,KAMPONG UBI INDUSTRIAL ESTATE,408720,na,na,na,na,86204
198205539R,ACRA,DR. K.S. WONG & PARTNERS DENTAL SURGERY PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,31/12/82,1982,31/12/82,LOCAL,5,KOEK ROAD,6,10,CUPPAGE PLAZA,228796,na,na,31/10/25,9/9/24,86204
30522000D,ACRA,KYOTO DENTAL LABORATORY AND SERVICES,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,31/1/83,1983,31/1/83,LOCAL,124,JALAN JURONG KECHIL,na,na,MANDARIN PARK,598619,na,na,na,na,86204
30608500C,ACRA,Q C NG DENTAL SERVICES & TRADING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,28/2/83,1983,28/2/83,LOCAL,130,BEDOK NORTH STREET 2,14,65,na,460130,na,na,na,na,86204
30772500J,ACRA,BIO-PRECISION DENTAL LABORATORY AND SUPPLY,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,9/4/83,1983,9/4/83,LOCAL,Jun-86,MARINE TERRACE,na,na,na,1544,na,na,na,na,86204
30832900K,ACRA,GOH LAY YUEN DENTAL SERVICES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,26/4/83,1983,26/4/83,LOCAL,268,ORCHARD ROAD,5,3,YEN SAN BUILDING,238856,na,na,na,na,86204
30980700W,ACRA,ACE DENTAL CERAMICS LABORATO RY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,10/5/83,1983,10/5/83,LOCAL,248,GEYLANG ROAD,na,na,na,389306,na,na,na,na,86204
31015600M,ACRA,UNION DENTAL SUPPLIES AND SERVICES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,13/5/83,1983,13/5/83,LOCAL,37,KALLANG PUDDING ROAD,7,9,TONG LEE BUILDING BLOCK B,349315,na,na,na,na,86204
198304046K,ACRA,TP KOKUSAI HEALTH SERVICES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,23/8/83,1983,23/8/83,LOCAL,391B,ORCHARD ROAD,26,1,NGEE ANN CITY,238874,na,na,31/1/07,23/11/05,86204
31567400L,ACRA,UNIQUE DENTAL TRADING AND LABORATORY,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,3/9/83,1983,3/9/83,LOCAL,11,COLLYER QUAY,5,1,THE ARCADE,49317,na,na,na,na,86204
31571100X,ACRA,TIEN GIN HO SI DENTAL LAB,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,26/9/83,1983,26/9/83,LOCAL,92,JOO CHIAT ROAD,na,na,na,427386,na,na,na,na,86204
198305546Z,ACRA,VELLA TRADING & AGENCIES PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,22/11/83,1983,22/11/83,LOCAL,20,JALAN TERANG BULAN,na,na,OPERA ESTATE,457297,na,na,6/8/02,6/4/01,86204
198306106G,ACRA,QUALITY SERVICES PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,31/12/83,1983,31/12/83,LOCAL,268,ORCHARD ROAD,5,2,YEN SAN BUILDING,238856,na,na,20/1/08,10/10/06,86204
32174800W,ACRA,DENTAFACT DENTAL MANAGEMENT SERVICES,Sole Proprietorship/ Partnership,Partnership,na,na,Cancelled,Non-Active,20/1/84,1984,20/1/84,LOCAL,37,KALLANG PUDDING ROAD,7,9,TONG LEE BUILDING BLOCK B,349315,na,na,na,na,86204
32169500C,ACRA,MISSION DENTAL CLINIC,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,25/1/84,1984,25/1/84,LOCAL,250,NORTH BRIDGE ROAD,2,15,RAFFLES CITY TOWER,179101,na,na,na,na,86204
32563600A,ACRA,MID-LINE DENTAL LABORATORY,Sole Proprietorship/ Partnership,Partnership,na,na,Cancelled,Non-Active,31/3/84,1984,31/3/84,LOCAL,9002,TAMPINES STREET 93,4,44,TAMPINES INDUSTRIAL PARK A,528836,na,na,na,na,86204
198401265H,ACRA,THOMSON DENTAL SURGEONS PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,14/4/84,1984,14/4/84,LOCAL,301,UPPER THOMSON ROAD,3,1,THOMSON PLAZA,574408,na,na,31/7/25,18/6/24,86204
32672700X,ACRA,NANYANG DENTAL CLINIC,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,19/4/84,1984,19/4/84,LOCAL,na,KIM PONG ROAD,1,16,na,316,na,na,na,na,86204
198402879H,ACRA,PENG JEE DENTAL LABORATORY PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,4/8/84,1984,4/8/84,LOCAL,1002,TOA PAYOH INDUSTRIAL PARK,4,1437,TOA PAYOH INDUSTRIAL PARK,319074,na,na,31/7/20,13/8/19,86204
198404433G,ACRA,LEE & LEE (DENTAL SURGEONS) PTE LTD,Local Company,na,Private Company Limited by Shares,na,Live Company,Active,31/12/84,1984,31/12/84,LOCAL,2,CLEMENTI LOOP,4,1,LOGIS HUB @ CLEMENTI,129809,na,na,31/7/25,18/7/24,86204
33932000A,ACRA,COSMO DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,9/1/85,1985,9/1/85,LOCAL,494C,GEYLANG ROAD,na,na,na,389452,na,na,na,na,86204
34018100A,ACRA,PEOPLE DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,26/1/85,1985,26/1/85,LOCAL,170,BUKIT TIMAH ROAD,4,56,na,229847,na,na,na,na,86204
34209500E,ACRA,ELI DENTAL SURGERY AND DRUG STORE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Registration expired and has not been renewed,Non-Active,15/3/85,1985,15/3/85,LOCAL,73,LORONG 4 TOA PAYOH,1,599,TOA PAYOH VISTA,310073,na,na,na,na,86204
198500872D,ACRA,EXCEL DENTAL SERVICES PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Creditors Voluntary Winding Up,Non-Active,15/4/85,1985,15/4/85,LOCAL,469,MACPHERSON ROAD,2,2,na,368186,na,na,22/6/06,23/2/05,86204
34522200L,ACRA,ALJUNIED DENTAL SURGERY,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,24/5/85,1985,24/5/85,LOCAL,119,ALJUNIED AVENUE 2,1,72,na,380119,na,na,na,na,86204
34574400D,ACRA,ESSENCROM DENTAL LABORATORY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,7/6/85,1985,7/6/85,LOCAL,1013,GEYLANG EAST AVENUE 3,7,120,GEYLANG EAST INDUSTRIAL ESTATE,389728,na,na,na,na,86204
