name,address,lat,lng,type,planning_area,area_estimate_sqm,surface_type,current_use,land_owner,likely_permission_required_from,accessibility,residential_proximity,ura_space_link,onemap_link,suitability_score,reasons,recommendation
ANG MO KIO INDUSTRIAL PARK 1,4023 ANG MO KIO INDUSTRIAL PARK 1 ANG MO KIO INDUSTRIAL PARK 1 SINGAPORE 569634,1.3579835099042,103.856297667766,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.3579835099042&lng=103.856297667766,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 1,4035 ANG MO KIO INDUSTRIAL PARK 1 ANG MO KIO INDUSTRIAL PARK 1 SINGAPORE 569642,1.36176432214756,103.857809922693,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36176432214756&lng=103.857809922693,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 1,4033 ANG MO KIO INDUSTRIAL PARK 1 ANG MO KIO INDUSTRIAL PARK 1 SINGAPORE 569640,1.36132158851266,103.857439120352,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36132158851266&lng=103.857439120352,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 1,4028 ANG MO KIO INDUSTRIAL PARK 1 ANG MO KIO INDUSTRIAL PARK 1 SINGAPORE 569639,1.35931658192068,103.856785495069,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.35931658192068&lng=103.856785495069,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 2,5038 ANG MO KIO INDUSTRIAL PARK 2 ANG MO KIO INDUSTRIAL PARK 2 SINGAPORE 569541,1.37245945391386,103.862557730021,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37245945391386&lng=103.862557730021,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 2,5056 ANG MO KIO INDUSTRIAL PARK 2 ANG MO KIO INDUSTRIAL PARK 2 SINGAPORE 569559,1.37477373457918,103.86122047388,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37477373457918&lng=103.86122047388,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
ANG MO KIO INDUSTRIAL PARK 2,5061 ANG MO KIO INDUSTRIAL PARK 2 ANG MO KIO INDUSTRIAL PARK 2 SINGAPORE 569564,1.37488441359824,103.859802524108,industrial_space,Ang Mo Kio,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.37488441359824&lng=103.859802524108,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK MALL (CAR PARK ENTRANCE),BEDOK MALL (CAR PARK ENTRANCE),1.32408263133612,103.928661563602,carpark,Bedok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.32408263133612&lng=103.928661563602,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK SHOPPING COMPLEX (CAR PARK ENTRANCE),BEDOK SHOPPING COMPLEX (CAR PARK ENTRANCE),1.3314395430386,103.947523720223,carpark,Bedok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.3314395430386&lng=103.947523720223,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
AWWA SCHOOL @ BEDOK,50 BEDOK RESERVOIR CRESCENT AWWA SCHOOL @ BEDOK SINGAPORE 479225,1.33534200645768,103.920335116785,school,Bedok,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33534200645768&lng=103.920335116785,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317,1.32344593287992,103.937878976352,school,Bedok,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.32344593287992&lng=103.937878976352,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVENUE 3 BEDOK GREEN SECONDARY SCHOOL SINGAPORE 469722,1.33451947288431,103.935028383346,school,Bedok,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33451947288431&lng=103.935028383346,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK BEDOK SOUTH SECONDARY SCHOOL SINGAPORE 468585,1.32513655159184,103.950989139261,school,Bedok,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.32513655159184&lng=103.950989139261,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3 BEDOK VIEW SECONDARY SCHOOL SINGAPORE 469293,1.32415704029686,103.943776245024,school,Bedok,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.32415704029686&lng=103.943776245024,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK INDUSTRIAL PARK C,BEDOK INDUSTRIAL PARK C,1.33689692690847,103.916817081441,industrial_space,Bedok,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33689692690847&lng=103.916817081441,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK INDUSTRIAL PARK E,BEDOK INDUSTRIAL PARK E,1.33623572827025,103.950225979996,industrial_space,Bedok,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33623572827025&lng=103.950225979996,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK INDUSTRIAL PARK E,3012 BEDOK INDUSTRIAL PARK E BEDOK INDUSTRIAL PARK E SINGAPORE 489978,1.33674834651743,103.949900388293,industrial_space,Bedok,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33674834651743&lng=103.949900388293,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK INDUSTRIAL PARK E,3011 BEDOK INDUSTRIAL PARK E BEDOK INDUSTRIAL PARK E SINGAPORE 489977,1.33616471412871,103.949682328085,industrial_space,Bedok,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33616471412871&lng=103.949682328085,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK INDUSTRIAL PARK E,3014 BEDOK INDUSTRIAL PARK E BEDOK INDUSTRIAL PARK E SINGAPORE 489980,1.33570307521737,103.950077856405,industrial_space,Bedok,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33570307521737&lng=103.950077856405,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK INDUSTRIAL PARK E,3013 BEDOK INDUSTRIAL PARK E BEDOK INDUSTRIAL PARK E SINGAPORE 489979,1.33583420466275,103.9506856264,industrial_space,Bedok,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33583420466275&lng=103.9506856264,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
BEDOK INDUSTRIAL PARK E,BEDOK INDUSTRIAL PARK E,1.33664953019166,103.948766856813,industrial_space,Bedok,350,concrete/asphalt,industrial/commercial space (may be underutilized),Private/Industrial,Industrial Estate Management/Private Owner,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.33664953019166&lng=103.948766856813,85,"['Sufficient area (350 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,268A BISHAN STREET 24 MULTI STOREY CAR PARK SINGAPORE 571268,1.35729457161081,103.842731430643,carpark,Bishan,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.35729457161081&lng=103.842731430643,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,290A BISHAN STREET 24 MULTI STOREY CAR PARK SINGAPORE 571290,1.35561402284511,103.844598043222,carpark,Bishan,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.35561402284511&lng=103.844598043222,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
DEERLAND PRE - SCHOOL BY BISHAN NORTH CCC,199 TOA PAYOH NORTH DEERLAND PRE - SCHOOL BY BISHAN NORTH CCC SINGAPORE 310199,1.34203351013688,103.850648936995,school,Bishan,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.34203351013688&lng=103.850648936995,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
RITZ SCHOOL OF LEARNERS & STUDENT CARE CENTRE LLP (BISHAN),251 BISHAN STREET 22 RITZ SCHOOL OF LEARNERS & STUDENT CARE CENTRE LLP (BISHAN) SINGAPORE 570251,1.3619102393501,103.844170496763,school,Bishan,320,concrete rooftop/asphalt,school facilities (after-hours potential),MOE/Private School,School Management/MOE,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.3619102393501&lng=103.844170496763,85,"['Sufficient area (320 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,622A BUKIT BATOK CENTRAL MULTI STOREY CAR PARK SINGAPORE 651622,1.35005983483787,103.748511881579,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.35005983483787&lng=103.748511881579,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,628A BUKIT BATOK CENTRAL MULTI STOREY CAR PARK SINGAPORE 651628,1.35094537158219,103.749944637305,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.35094537158219&lng=103.749944637305,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,290H BUKIT BATOK STREET 24 MULTI STOREY CAR PARK SINGAPORE 657290,1.34328202342987,103.757986778729,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.34328202342987&lng=103.757986778729,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,288H BUKIT BATOK STREET 25 MULTI STOREY CAR PARK SINGAPORE 657288,1.34556154710655,103.760138074228,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.34556154710655&lng=103.760138074228,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,291F BUKIT BATOK STREET 24 MULTI STOREY CAR PARK SINGAPORE 655291,1.34273890162005,103.755262014712,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.34273890162005&lng=103.755262014712,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,289H BUKIT BATOK STREET 25 MULTI STOREY CAR PARK SINGAPORE 657289,1.34448838213212,103.759942499377,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.34448838213212&lng=103.759942499377,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,395A BUKIT BATOK WEST AVENUE 5 MULTI STOREY CAR PARK SINGAPORE 651395,1.36448974299463,103.751987145985,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36448974299463&lng=103.751987145985,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,285A BUKIT BATOK EAST AVENUE 3 MULTI STOREY CAR PARK SINGAPORE 651285,1.34674305716251,103.7577827956,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.34674305716251&lng=103.7577827956,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
MULTI STOREY CAR PARK,404A BUKIT BATOK WEST AVENUE 7 MULTI STOREY CAR PARK SINGAPORE 651404,1.36516356301222,103.745341347557,carpark,Bukit Batok,250,asphalt,parking (potentially underutilized),NParks/HDB/Private,NParks/HDB/Private Management,public access,Unknown,https://www.ura.gov.sg/maps/,https://www.onemap.gov.sg/main/v2/?lat=1.36516356301222&lng=103.745341347557,85,"['Sufficient area (250 sqm)', 'Suitable surface type', 'Good accessibility', 'Residential proximity: Unknown', 'Underutilized space']",High
